Author,Year,Specimen,D,D_units,t,t_units,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,Pexp,Pexp_units,d_at_Pexp,d_at_Pexp_units,et,et_units,eb,eb_units,L,L_units,Tags,Notes
Kloppel & Goder,1957,7,3.74,in,0.492,in,39830,psi,,,2940,psi,cylinder,212.9,kips,,,0,in,,,55.91,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,8,3.74,in,0.502,in,39540,psi,,,2940,psi,cylinder,210.8,kips,,,0,in,,,55.91,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,9,3.74,in,0.488,in,39540,psi,,,2940,psi,cylinder,203.9,kips,,,0,in,,,55.91,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,10,3.74,in,0.496,in,39830,psi,,,2940,psi,cylinder,228.8,kips,,,0,in,,,33.86,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,11,3.74,in,0.5,in,39540,psi,,,2940,psi,cylinder,226.6,kips,,,0,in,,,33.86,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,12,3.74,in,0.5,in,39540,psi,,,2940,psi,cylinder,232.4,kips,,,0,in,,,33.86,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,13,3.74,in,0.504,in,40390,psi,,,2940,psi,cylinder,199.3,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,14,3.74,in,0.492,in,39970,psi,,,2940,psi,cylinder,203.9,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,15,3.74,in,0.496,in,40540,psi,,,2940,psi,cylinder,206.1,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,41,3.74,in,0.144,in,47360,psi,,,3620,psi,cylinder,147.5,kips,,,0,in,,,33.86,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,42,3.74,in,0.145,in,56040,psi,,,3620,psi,cylinder,154.3,kips,,,0,in,,,33.86,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,43,3.74,in,0.134,in,48640,psi,,,3620,psi,cylinder,147.5,kips,,,0,in,,,33.86,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,44,3.74,in,0.152,in,47360,psi,,,3620,psi,cylinder,127.4,kips,,,0,in,,,55.91,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,45,3.74,in,0.154,in,56040,psi,,,3620,psi,cylinder,136.2,kips,,,0,in,,,55.91,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,46,3.74,in,0.141,in,48640,psi,,,3620,psi,cylinder,129.4,kips,,,0,in,,,55.91,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,47,3.74,in,0.148,in,47360,psi,,,3620,psi,cylinder,120.6,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,48,3.74,in,0.149,in,56040,psi,,,3620,psi,cylinder,127.2,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,49,3.74,in,0.138,in,48640,psi,,,3620,psi,cylinder,109.6,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,63,8.504,in,0.16,in,41250,psi,,,3620,psi,cylinder,230,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,64,8.504,in,0.162,in,43380,psi,,,3320,psi,cylinder,412.4,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,65,8.504,in,0.159,in,41820,psi,,,4320,psi,cylinder,514.6,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,66,8.504,in,0.162,in,41530,psi,,,4320,psi,cylinder,503.3,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,69,8.504,in,0.238,in,56470,psi,,,3320,psi,cylinder,553.4,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,70,8.504,in,0.235,in,57040,psi,,,3320,psi,cylinder,544.3,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,71,8.504,in,0.256,in,42810,psi,,,4320,psi,cylinder,630.3,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,72,8.504,in,0.248,in,58740,psi,,,4320,psi,cylinder,659.2,kips,,,0,in,,,87.4,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,73,3.74,in,0.152,in,48210,psi,,,3490,psi,cylinder,112,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,74,3.74,in,0.134,in,48930,psi,,,3490,psi,cylinder,106.3,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,75,3.74,in,0.141,in,51490,psi,,,3490,psi,cylinder,106.3,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,76,3.74,in,0.147,in,47360,psi,,,3490,psi,cylinder,92.81,kips,,,0,in,,,77.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,83,4.764,in,0.144,in,42810,psi,,,3060,psi,cylinder,156.3,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,84,4.764,in,0.147,in,47510,psi,,,3060,psi,cylinder,167.8,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,85,4.764,in,0.148,in,44660,psi,,,3510,psi,cylinder,188.1,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,86,4.764,in,0.157,in,47360,psi,,,3510,psi,cylinder,194.9,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,89,4.764,in,0.221,in,49920,psi,,,3060,psi,cylinder,224.4,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,90,4.764,in,0.213,in,49780,psi,,,3060,psi,cylinder,228.8,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,91,4.764,in,0.215,in,47930,psi,,,3510,psi,cylinder,247.1,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,92,4.764,in,0.219,in,46650,psi,,,3510,psi,cylinder,242.5,kips,,,0,in,,,41.34,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,95,4.764,in,0.146,in,42810,psi,,,3060,psi,cylinder,144,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,96,4.764,in,0.148,in,47510,psi,,,3060,psi,cylinder,141.5,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,97,4.764,in,0.146,in,44660,psi,,,3510,psi,cylinder,156.3,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,98,4.764,in,0.152,in,47360,psi,,,3510,psi,cylinder,169.8,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,101,4.764,in,0.224,in,49920,psi,,,3060,psi,cylinder,176.8,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,102,4.764,in,0.216,in,49780,psi,,,3060,psi,cylinder,183.4,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,103,4.764,in,0.222,in,47930,psi,,,3510,psi,cylinder,196.4,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Kloppel & Goder,1957,104,4.764,in,0.214,in,46650,psi,,,3510,psi,cylinder,194.5,kips,,,0,in,,,90.95,in,,Data from Knowles and Park (1970)
Salani & Sims,1964,16F,1,in,0.035,in,76000,psi,82300,psi,3430,psi,cylinder,3.87,kips,,,0,in,,,60,in,,
Salani & Sims,1964,17F,1,in,0.035,in,76000,psi,82300,psi,3430,psi,cylinder,3.34,kips,,,0,in,,,60,in,,
Salani & Sims,1964,18F,1,in,0.035,in,76000,psi,82300,psi,3430,psi,cylinder,3.24,kips,,,0,in,,,60,in,,
Salani & Sims,1964,49F,1,in,0.035,in,76000,psi,82300,psi,4035,psi,cylinder,3.54,kips,,,0,in,,,60,in,,
Salani & Sims,1964,50F,1,in,0.035,in,76000,psi,82300,psi,4035,psi,cylinder,3.49,kips,,,0,in,,,60,in,,
