Author ,Year,Specimen,H,H_units,B,B_units,t,t_units,SteelTubeType,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,L,L_units,et,et_units,eb,eb_units,BendingAxis,Pexp,Pexp_units,d_at_Pexp,d_at_Pexp_units,LoadDeformation,Tags,Notes
Chapman & Neogi,1966,DF3,4.5,in,4.5,in,0.379,in,,36850,psi,,,4660,psi,cylinder,16,in,0,in,,,strong,549,kips,,,no,,Data from Knowles and Park (1970)
Chapman & Neogi,1966,DF4,4.522,in,4.522,in,0.173,in,,36850,psi,,,4660,psi,cylinder,16,in,0,in,,,strong,201.6,kips,,,no,,Data from Knowles and Park (1970)
Furlong,1967,Column-3,5,in,5,in,0.084,in,,70.3,ksi,,,6.5,ksi,cylinder,36,in,0,in,,,strong,360,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-4,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,cylinder,36,in,0,in,,,strong,117.8,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-5,4,in,4,in,0.125,in,,48,ksi,,,3.4,ksi,cylinder,36,in,0,in,,,strong,109.8,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-6,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,cylinder,36,in,0,in,,,strong,150,kips,,,no,,Length from Knowles and Park (1970)
Furlong,1967,Column-7,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,cylinder,36,in,0,in,,,strong,152,kips,,,no,,Length from Knowles and Park (1970)
Knowles & Park,1969,Column-13,3,in,3,in,0.132,in,,47000,psi,54500,psi,5200,psi,cylinder,68,in,0,in,,,strong,80000,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-14,3,in,3,in,0.132,in,,47000,psi,54500,psi,4935,psi,cylinder,56,in,0,in,,,strong,86600,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
Knowles & Park,1969,Column-15,3,in,3,in,0.132,in,,47000,psi,54500,psi,6780,psi,cylinder,44,in,0,in,,,strong,95000,lbf,,,no,,Concrete Strength from Knowles and Park (1970)
