Author ,Year,Specimen,H,H_units,B,B_units,t,t_units,SteelTubeType,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,KL,KL_units,Pexp,Pexp_units,M1exp,M1exp_units,M2exp,M2exp_units,BendingAxis,Tags,Notes
Furlong,1967,BeamColumn-1,5,in,5,in,0.189,in,,70.3,ksi,,,6.5,ksi,,42,in,250,kips,,,310,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-2,5,in,5,in,0.189,in,,70.3,ksi,,,6.5,ksi,,42,in,150,kips,,,365,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-3,5,in,5,in,0.189,in,,70.3,ksi,,,6.5,ksi,,42,in,150,kips,,,430,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-4,5,in,5,in,0.189,in,,70.3,ksi,,,6.5,ksi,,42,in,100,kips,,,450,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-10,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,,42,in,84,kips,,,44.3,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-11,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,,42,in,84,kips,,,44.6,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-12,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,,42,in,54.4,kips,,,91.7,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-13,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,,42,in,20.2,kips,,,104.9,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-14,4,in,4,in,0.084,in,,48,ksi,,,3.4,ksi,,42,in,20.1,kips,,,114.1,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-20,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,98.4,kips,,,119,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-21,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,68.8,kips,,,162,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-22,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,67.8,kips,,,162,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-23,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,58.6,kips,,,190,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-24,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,29,kips,,,209,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-25,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,28.8,kips,,,193,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-26,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,9,kips,,,165,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Furlong,1967,BeamColumn-27,4,in,4,in,0.125,in,,48,ksi,,,4.18,ksi,,42,in,0,kips,,,204,k-in,strong,,"Length from Task Group 20, SSRC (1979)"
Tomii & Sakino,1979,I-0,10,cm,10,cm,2.29,mm,ColdFormed,1.98,tscm,3.53,tscm,245,kgscm,Cylinder,300,mm,0,tonne,,,0.73,tf-m,strong,,
